,Action,Adventure,Comedy,Drama,Fantasy,Slice of Life,Romance,Sci-Fi,Shounen,Seinen,Shoujo,Josei,Isekai,Mecha,Psychological,Horror,Mystery,Sports,Supernatural,Historical,Music,Thriller,School,Ecchi,Harem,Military,Space,Parody,Samurai,Magic,Demons,Vampire,Police,Martial Arts,Game
Shoujo,0.28488496,0.23343727,0.20357072,0.20247957,0.24531868,0.21570319,0.24676467,0.17412479,0.6635258,0.25127757,1.0000001,0.452682,0.43670684,0.22811413,0.1459795,0.24411634,0.21911356,0.2610545,0.21102682,0.17444442,0.24843043,0.24130075,0.3237775,0.38825092,0.3119902,0.24780469,0.20122623,0.20475873,0.4925061,0.22363861,0.2224454,0.1415209,0.26380217,0.33424157,0.2507577
Josei,0.2631149,0.19469321,0.18838112,0.25006783,0.25119936,0.15429762,0.26833135,0.17514087,0.30874187,0.27814558,0.452682,1.0,0.40836555,0.30907494,0.16802719,0.27319854,0.31230855,0.20558612,0.20479514,0.25440374,0.25046617,0.20406887,0.2219775,0.37230483,0.294491,0.20529181,0.16598569,0.17671926,0.41387853,0.22898038,0.24104628,0.18927066,0.28669322,0.29025286,0.29137242
Isekai,0.19861573,0.2565688,0.21925071,0.20099594,0.21828032,0.17794143,0.19430226,0.102496214,0.31600475,0.23545289,0.43670684,0.40836555,1.0000002,0.22909424,0.1490554,0.24009891,0.24241981,0.11307372,0.164251,0.16171649,0.19126925,0.15366718,0.19832379,0.34036744,0.27635697,0.14104035,0.11167312,0.16066796,0.35522133,0.16966018,0.17667474,0.20470786,0.18386763,0.25163978,0.22477698
Mecha,0.23988251,0.14780837,0.14619955,0.19265747,0.12451764,0.11148684,0.19683507,0.11804982,0.204442,0.14978895,0.22811413,0.30907494,0.22909424,1.0000001,0.13952458,0.25676826,0.19747047,0.19345708,0.10773881,0.2061854,0.1600189,0.08749769,0.21224335,0.19677262,0.23508766,0.1760956,0.20022821,0.23326185,0.19551867,0.17603624,0.112753265,0.20831947,0.18417394,0.105590165,0.2338948
Psychological,0.35664546,0.3374313,0.37206793,0.45570123,0.34604523,0.21316883,0.42628962,0.2987585,0.10011083,0.14976808,0.1459795,0.16802719,0.1490554,0.13952458,1.0,0.39936173,0.32840294,0.40998945,0.37919503,0.3792482,0.3580367,0.31281465,0.41520923,0.18840563,0.25115258,0.36478022,0.2785397,0.22895999,0.2217466,0.37227184,0.3504532,0.25619367,0.35217053,0.37929535,0.38264954
Horror,0.36080903,0.4779946,0.44200993,0.3584268,0.43108058,0.3087641,0.41797048,0.28834426,0.16004974,0.19608,0.24411634,0.27319854,0.24009891,0.25676826,0.39936173,1.0000001,0.5339421,0.28057393,0.4585227,0.33520782,0.35340577,0.56121504,0.42224085,0.25394744,0.2556885,0.35356796,0.30186117,0.36979246,0.32247448,0.44858855,0.4848948,0.44204462,0.39698717,0.27654716,0.41457805
Mystery,0.32426122,0.42130044,0.41461837,0.36328483,0.362921,0.21642128,0.38637257,0.3572318,0.23710966,0.24858122,0.21911356,0.31230855,0.24241981,0.19747047,0.32840294,0.5339421,1.0000001,0.32030925,0.4465866,0.3372403,0.37945443,0.40948468,0.41161555,0.23417008,0.2613439,0.3591806,0.34448805,0.3504724,0.28500122,0.47422594,0.3866955,0.357978,0.4204945,0.22725016,0.38492477
Sports,0.3693825,0.3481285,0.42346042,0.44183445,0.44362968,0.19418508,0.3194231,0.35529512,0.20758301,0.19879013,0.2610545,0.20558612,0.11307372,0.19345708,0.40998945,0.28057393,0.32030925,0.99999994,0.29844177,0.32625216,0.41637218,0.29009497,0.51324755,0.20211506,0.26343623,0.4841309,0.28326905,0.29712316,0.20410796,0.40415478,0.22528094,0.23981562,0.3895489,0.52452517,0.5341217
Supernatural,0.26973763,0.3844067,0.35098445,0.37661612,0.51015013,0.25967437,0.3345666,0.45916048,0.20949468,0.18568626,0.21102682,0.20479514,0.164251,0.10773881,0.37919503,0.4585227,0.4465866,0.29844177,1.0000004,0.2826711,0.3824647,0.55740094,0.34397274,0.17287174,0.22764954,0.31172985,0.30866444,0.2593913,0.3143711,0.46816275,0.5515226,0.5027811,0.37092152,0.30838722,0.26885593
Historical,0.34461546,0.23367774,0.2961945,0.30845648,0.29476556,0.18033725,0.28297412,0.27779558,0.23590341,0.23817612,0.17444442,0.25440374,0.16171649,0.2061854,0.3792482,0.33520782,0.3372403,0.32625216,0.2826711,1.0000001,0.29185736,0.3081266,0.32649183,0.22807443,0.1851224,0.34351006,0.227721,0.28543505,0.30947572,0.29146248,0.23955825,0.23641805,0.30916214,0.2610337,0.3566463
Music,0.37058702,0.38344848,0.42357635,0.36927742,0.32920575,0.24411201,0.39340663,0.40482274,0.20177177,0.17253478,0.24843043,0.25046617,0.19126925,0.1600189,0.3580367,0.35340577,0.37945443,0.41637218,0.3824647,0.29185736,1.0000002,0.39300162,0.45008564,0.20362087,0.20637897,0.4344508,0.38300186,0.2858197,0.26728025,0.4207321,0.3060772,0.237323,0.42816293,0.40318334,0.39961848
Thriller,0.343556,0.53267086,0.39224714,0.40077996,0.47187966,0.27042454,0.42857283,0.46329728,0.17550652,0.2941997,0.24130075,0.20406887,0.15366718,0.08749769,0.31281465,0.56121504,0.40948468,0.29009497,0.55740094,0.3081266,0.39300162,1.0,0.33375055,0.26714858,0.15099986,0.3010943,0.3527158,0.23624787,0.33006686,0.32059112,0.3914627,0.48945254,0.37211317,0.25623238,0.3346793
School,0.35671487,0.34026235,0.48179173,0.42630354,0.3258384,0.22827652,0.3886245,0.39963597,0.22683346,0.2765141,0.3237775,0.2219775,0.19832379,0.21224335,0.41520923,0.42224085,0.41161555,0.51324755,0.34397274,0.32649183,0.45008564,0.33375055,1.0,0.2573855,0.3627901,0.5140804,0.36076397,0.32204837,0.3135925,0.38158906,0.31928456,0.2845599,0.48495018,0.4616472,0.44470578
Ecchi,0.28990114,0.26640594,0.20024168,0.17134944,0.15872562,0.19956195,0.19489342,0.2334097,0.32826698,0.37079108,0.38825092,0.37230483,0.34036744,0.19677262,0.18840563,0.25394744,0.23417008,0.20211506,0.17287174,0.22807443,0.20362087,0.26714858,0.2573855,1.0000002,0.26708707,0.2082045,0.2100782,0.19473627,0.26348945,0.15087472,0.16223428,0.21949369,0.27995574,0.2416347,0.222923
Harem,0.28156364,0.33444655,0.3903991,0.35025883,0.38419682,0.22434676,0.42026773,0.19807576,0.25378686,0.20732471,0.3119902,0.294491,0.27635697,0.23508766,0.25115258,0.2556885,0.2613439,0.26343623,0.22764954,0.1851224,0.20637897,0.15099986,0.3627901,0.26708707,0.9999999,0.2774401,0.17485791,0.28507876,0.2876497,0.3317194,0.27189746,0.27614677,0.28420618,0.31306463,0.30719662
Military,0.35580498,0.30440718,0.39712185,0.28916973,0.33314854,0.20426151,0.32575136,0.44482738,0.18672615,0.20408832,0.24780469,0.20529181,0.14104035,0.1760956,0.36478022,0.35356796,0.3591806,0.4841309,0.31172985,0.34351006,0.4344508,0.3010943,0.5140804,0.2082045,0.2774401,1.0000006,0.35310817,0.26281404,0.40563208,0.32920966,0.2865662,0.22158974,0.5658379,0.5302458,0.38969958
Space,0.33814538,0.28231943,0.31633064,0.29752594,0.24581546,0.32153988,0.31250808,0.4492411,0.15682521,0.21930957,0.20122623,0.16598569,0.11167312,0.20022821,0.2785397,0.30186117,0.34448805,0.28326905,0.30866444,0.227721,0.38300186,0.3527158,0.36076397,0.2100782,0.17485791,0.35310817,1.0000001,0.1752764,0.22546898,0.34836236,0.28344965,0.26153463,0.2907834,0.24827853,0.3282876
Parody,0.30380374,0.2909096,0.60251826,0.3951643,0.28621322,0.2810353,0.26336527,0.28022885,0.16387212,0.18790105,0.20475873,0.17671926,0.16066796,0.23326185,0.22895999,0.36979246,0.3504724,0.29712316,0.2593913,0.28543505,0.2858197,0.23624787,0.32204837,0.19473627,0.28507876,0.26281404,0.1752764,1.0000001,0.21203232,0.34679168,0.26880777,0.23558566,0.32195002,0.20139053,0.34661964
Samurai,0.28851235,0.2805192,0.3216235,0.20329502,0.2784851,0.23783782,0.28590095,0.32861528,0.38827807,0.24383497,0.4925061,0.41387853,0.35522133,0.19551867,0.2217466,0.32247448,0.28500122,0.20410796,0.3143711,0.30947572,0.26728025,0.33006686,0.3135925,0.26348945,0.2876497,0.40563208,0.22546898,0.21203232,0.99999994,0.25729465,0.36981034,0.30654117,0.3113963,0.50438195,0.27560717
Magic,0.39626205,0.4049024,0.42764425,0.37067544,0.56295717,0.23928829,0.36487874,0.2595827,0.21524322,0.18785954,0.22363861,0.22898038,0.16966018,0.17603624,0.37227184,0.44858855,0.47422594,0.40415478,0.46816275,0.29146248,0.4207321,0.32059112,0.38158906,0.15087472,0.3317194,0.32920966,0.34836236,0.34679168,0.25729465,0.9999999,0.4191767,0.27138776,0.35682493,0.37038034,0.42950782
Demons,0.2995035,0.2967296,0.28312996,0.22618341,0.35840997,0.19261682,0.29845315,0.27547732,0.16989693,0.25917184,0.2224454,0.24104628,0.17667474,0.112753265,0.3504532,0.4848948,0.3866955,0.22528094,0.5515226,0.23955825,0.3060772,0.3914627,0.31928456,0.16223428,0.27189746,0.2865662,0.28344965,0.26880777,0.36981034,0.4191767,1.0000004,0.4688858,0.4027934,0.26997524,0.30984002
Vampire,0.27124396,0.3631578,0.31022274,0.25777406,0.31641,0.30928087,0.3471902,0.3106492,0.15494797,0.32842535,0.1415209,0.18927066,0.20470786,0.20831947,0.25619367,0.44204462,0.357978,0.23981562,0.5027811,0.23641805,0.237323,0.48945254,0.2845599,0.21949369,0.27614677,0.22158974,0.26153463,0.23558566,0.30654117,0.27138776,0.4688858,1.0,0.33330917,0.18914896,0.31536707
Police,0.37191954,0.2902012,0.45031625,0.35522187,0.27825367,0.16671535,0.30784756,0.35135305,0.22594233,0.2837785,0.26380217,0.28669322,0.18386763,0.18417394,0.35217053,0.39698717,0.4204945,0.3895489,0.37092152,0.30916214,0.42816293,0.37211317,0.48495018,0.27995574,0.28420618,0.5658379,0.2907834,0.32195002,0.3113963,0.35682493,0.4027934,0.33330917,0.99999994,0.35800898,0.39467657
Martial Arts,0.374775,0.30231845,0.372209,0.292032,0.35272163,0.1755825,0.24737264,0.3282033,0.24133897,0.19729973,0.33424157,0.29025286,0.25163978,0.105590165,0.37929535,0.27654716,0.22725016,0.52452517,0.30838722,0.2610337,0.40318334,0.25623238,0.4616472,0.2416347,0.31306463,0.5302458,0.24827853,0.20139053,0.50438195,0.37038034,0.26997524,0.18914896,0.35800898,1.0,0.30828905
Game,0.4667079,0.47503704,0.48328096,0.44834527,0.5117395,0.33733904,0.35880646,0.27880794,0.17791088,0.20599416,0.2507577,0.29137242,0.22477698,0.2338948,0.38264954,0.41457805,0.38492477,0.5341217,0.26885593,0.3566463,0.39961848,0.3346793,0.44470578,0.222923,0.30719662,0.38969958,0.3282876,0.34661964,0.27560717,0.42950782,0.30984002,0.31536707,0.39467657,0.30828905,1.0
